This file was created by CMPT_ME_PRIOR_RETS_DAILY using the 201803 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
MOM is the average of the returns on two (big and small) high prior return portfolios
minus the average of the returns on two low prior return portfolios.  The portfolios
are constructed daily.  Big means a firm is above the median market cap on the NYSE
at the end of the previous day; small firms are below the median NYSE market cap.
Prior return is measured from day - 250 to - 21.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,Mom   
19290713,   0.18
19290715,   0.08
19290716,   0.75
19290717,   0.79
19290718,   0.34
19290719,   0.65
19290720,   0.23
19290722,   0.08
19290723,   0.61
19290724,   0.41
19290725,   0.08
19290726,   0.69
19290727,  -0.26
19290729,  -0.58
19290730,   0.17
19290731,   0.67
19290801,   0.96
19290802,   0.77
19290803,  -0.61
19290805,   0.41
19290806,   0.06
19290807,   0.59
19290808,   0.38
19290809,  -0.45
19290810,   0.24
19290812,   0.65
19290813,   0.42
19290814,   0.31
19290815,  -0.57
19290816,  -0.80
19290817,   0.34
19290819,   0.27
19290820,   0.00
19290821,  -1.04
19290822,   1.01
19290823,   0.50
19290824,   0.15
19290826,   0.80
19290827,   0.46
19290828,  -0.31
19290829,   0.07
19290830,   1.10
19290903,   0.63
19290904,  -1.74
19290905,   0.33
19290906,  -0.34
19290907,   0.12
19290909,   0.83
19290910,  -0.04
19290911,   0.28
19290912,  -0.47
19290913,  -0.02
19290914,  -0.44
19290916,  -0.68
19290917,  -0.11
19290918,   1.38
19290919,   0.34
19290920,   0.61
19290921,   0.07
19290923,   0.84
19290924,  -0.70
19290925,   0.32
19290926,   0.73
19290927,  -0.40
19290928,  -0.20
19290930,   0.27
19291001,   0.25
19291002,  -0.13
19291003,  -0.04
19291004,   0.60
19291005,  -1.58
19291007,  -0.30
19291008,  -0.09
19291009,   0.33
19291010,   1.77
19291011,   0.54
19291014,  -1.12
19291015,  -0.12
19291016,  -1.36
19291017,   1.02
19291018,  -0.25
19291019,  -0.37
19291021,   0.56
19291022,   1.33
19291023,   0.06
19291024,   2.64
19291025,  -0.55
19291026,  -1.90
19291028,  -0.84
19291029,   3.92
19291030,   3.73
19291031,  -0.52
19291104,  -2.73
19291106,  -1.28
19291107,   3.84
19291108,  -2.31
19291111,  -1.56
19291112,   1.79
19291113,   1.98
19291114,   0.08
19291115,  -3.20
19291118,  -1.64
19291119,   0.67
19291120,   0.10
19291121,   1.07
19291122,  -0.96
19291125,   0.43
19291126,   1.45
19291127,   0.55
19291202,   0.33
19291203,  -1.14
19291204,   0.18
19291205,   0.60
19291206,  -0.35
19291207,  -0.31
19291209,  -2.16
19291210,  -1.53
19291211,   1.04
19291212,   3.10
19291213,  -1.84
19291214,  -0.71
19291216,   0.99
19291217,   0.34
19291218,   0.57
19291219,   1.94
19291220,   2.45
19291221,  -1.74
19291223,   1.06
19291224,   0.28
19291226,  -0.70
19291227,   0.47
19291228,   0.71
19291230,   2.08
19291231,  -1.28
19300102,  -1.34
19300103,  -0.57
19300104,  -0.11
19300106,  -0.90
19300107,   0.82
19300108,   0.24
19300109,   0.34
19300110,  -0.18
19300111,   0.54
19300113,  -0.33
19300114,   0.56
19300115,   0.17
19300116,   0.92
19300117,   0.92
19300118,  -0.21
19300120,  -0.78
19300121,  -1.60
19300122,  -1.12
19300123,  -1.67
19300124,  -0.87
19300125,  -0.36
19300127,   0.04
19300128,   1.47
19300129,   0.04
19300130,  -0.42
19300131,  -0.80
19300201,  -1.62
19300203,   0.27
19300204,  -0.34
19300205,  -0.39
19300206,   0.54
19300207,   0.50
19300208,  -0.34
19300210,   0.11
19300211,  -0.26
19300213,   0.96
19300214,   0.79
19300215,   0.31
19300217,  -0.92
19300218,  -0.29
19300219,   0.34
19300220,   0.36
19300221,  -0.86
19300224,   0.53
19300225,  -0.28
19300226,  -0.35
19300227,  -0.72
19300228,  -0.04
19300301,   0.46
19300303,  -0.12
19300304,  -0.11
19300305,   0.80
19300306,   0.34
19300307,  -0.87
19300308,   0.28
19300310,  -1.69
19300311,  -1.26
19300312,   0.76
19300313,  -0.01
19300314,   0.34
19300315,  -0.17
19300317,  -1.35
19300318,   0.45
19300319,   0.85
19300320,  -0.52
19300321,   0.00
19300322,   0.28
19300324,  -0.70
19300325,   0.33
19300326,   0.26
19300327,  -0.55
19300328,   0.76
19300329,  -0.49
19300331,  -1.58
19300401,  -0.52
19300402,   0.32
19300403,  -0.26
19300404,  -0.50
19300405,  -0.16
19300407,  -0.86
19300408,  -0.52
19300409,  -1.12
19300410,  -0.36
19300411,   0.50
19300412,  -0.39
19300414,   0.25
19300415,   0.62
19300416,  -0.33
19300417,  -0.29
19300421,  -0.64
19300422,   0.14
19300423,  -0.21
19300424,   0.60
19300425,   0.62
19300426,   0.87
19300428,   0.91
19300429,   0.55
19300430,   0.58
19300501,  -1.22
19300502,  -0.20
19300503,   0.92
19300505,   2.92
19300506,  -1.83
19300507,  -0.63
19300508,  -1.75
19300509,   0.06
19300510,  -0.51
19300512,  -0.68
19300513,   0.08
19300514,   0.44
19300515,   0.49
19300516,   0.59
19300517,  -0.53
19300519,  -0.07
19300520,   0.62
19300521,  -0.05
19300522,   1.03
19300523,  -0.90
19300524,  -0.73
19300526,   0.27
19300527,   0.57
19300528,   0.30
19300529,   0.25
19300602,  -0.85
19300603,   0.99
19300604,   0.13
19300605,   0.73
19300606,   0.80
19300607,   1.18
19300609,   1.29
19300610,   0.91
19300611,   0.67
19300612,   0.48
19300613,   0.43
19300614,   0.75
19300616,   2.55
19300617,   1.20
19300618,   1.68
19300619,  -0.88
19300620,   0.14
19300621,   0.79
19300623,   0.44
19300624,   0.34
19300625,   0.67
19300626,  -1.70
19300627,   0.64
19300628,   0.36
19300630,  -0.91
19300701,   0.17
19300702,   0.11
19300703,  -0.37
19300707,   1.35
19300708,   0.13
19300709,  -1.41
19300710,  -0.77
19300711,   0.40
19300712,  -0.37
19300714,  -2.00
19300715,  -0.57
19300716,  -0.93
19300717,  -0.86
19300718,  -1.50
19300719,   0.52
19300721,   2.41
19300722,  -0.80
19300723,  -0.51
19300724,   0.63
19300725,   0.05
19300726,  -0.40
19300728,  -0.21
19300729,   0.46
19300730,   1.58
19300731,  -0.29
19300801,   0.25
19300802,  -0.33
19300804,  -0.13
19300805,   0.02
19300806,   0.23
19300807,   0.64
19300808,   1.29
19300809,   0.28
19300811,   0.40
19300812,   1.02
19300813,  -0.03
19300814,   1.52
19300815,  -0.42
19300816,  -0.24
19300818,   0.49
19300819,  -0.47
19300820,   0.22
19300821,   0.12
19300822,   0.33
19300823,  -0.62
19300825,   0.59
19300826,  -0.13
19300827,  -0.01
19300828,  -0.38
19300829,  -0.37
19300902,  -0.66
19300903,   0.27
19300904,   0.38
19300905,  -0.86
19300906,  -0.76
19300908,  -0.33
19300909,  -0.16
19300910,  -0.45
19300911,  -0.54
19300912,   0.37
19300913,   0.28
19300915,   0.19
19300916,   0.67
19300917,   0.29
19300918,   0.38
19300919,  -0.49
19300920,   0.85
19300922,  -0.11
19300923,   1.45
19300924,   1.02
19300925,   0.68
19300926,   0.99
19300927,   0.60
19300929,   1.53
19300930,   1.05
19301001,  -0.07
19301002,   0.10
19301003,   0.97
19301004,  -1.44
19301006,   0.11
19301007,   1.13
19301008,  -0.75
19301009,   1.28
19301010,   2.25
19301011,  -2.19
19301014,   0.32
19301015,  -0.98
19301016,  -0.11
19301017,   0.14
19301018,   0.81
19301020,  -0.01
19301021,   0.95
19301022,   0.68
19301023,  -0.29
19301024,  -0.47
19301025,   0.53
19301027,  -0.26
19301028,  -0.89
19301029,  -0.39
19301030,   0.25
19301031,   1.48
19301101,   0.24
19301103,   0.08
19301105,   1.47
19301106,   0.15
19301107,   1.99
19301108,  -0.06
19301110,   0.97
19301111,   0.05
19301112,  -2.64
19301113,  -2.22
19301114,  -2.53
19301115,  -1.62
19301117,   2.01
19301118,  -0.23
19301119,  -0.92
19301120,   0.36
19301121,  -1.09
19301122,   0.80
19301124,   0.23
19301125,   0.21
19301126,   1.05
19301128,   0.75
19301129,  -0.02
19301201,  -0.41
19301202,  -0.80
19301203,   1.23
19301204,   2.25
19301205,   0.52
19301206,   0.62
19301208,   1.98
19301209,   1.01
19301210,   1.64
19301211,   1.38
19301212,  -0.36
19301213,   2.09
19301215,   0.80
19301216,   2.67
19301217,  -1.96
19301218,  -0.85
19301219,  -0.06
19301220,  -0.48
19301222,   2.16
19301223,   1.51
19301224,  -0.10
19301226,   0.96
19301227,   1.44
19301229,   2.40
19301230,  -2.35
19301231,  -3.20
19310102,  -4.76
19310103,  -3.09
19310105,  -0.07
19310106,  -2.32
19310107,  -0.30
19310108,  -2.43
19310109,  -0.04
19310110,  -0.03
19310112,   1.49
19310113,   1.91
19310114,  -0.96
19310115,   1.80
19310116,  -0.96
19310117,   0.46
19310119,   0.55
19310120,  -1.66
19310121,   0.11
19310122,  -1.72
19310123,  -2.04
19310124,  -0.12
19310126,   0.59
19310127,  -0.34
19310128,   1.89
19310129,  -1.15
19310130,  -1.22
19310131,   0.87
19310202,  -0.77
19310203,  -0.48
19310204,   0.02
19310205,   0.74
19310206,  -0.32
19310207,  -0.88
19310209,  -2.84
19310210,  -1.52
19310211,  -1.24
19310213,  -0.35
19310214,   0.43
19310216,  -1.67
19310217,   1.18
19310218,  -0.75
19310219,  -1.45
19310220,  -2.27
19310221,  -2.96
19310224,  -2.36
19310225,   1.48
19310226,  -0.80
19310227,  -0.03
19310228,   0.35
19310302,   2.18
19310303,   1.74
19310304,   1.13
19310305,  -1.76
19310306,   2.17
19310307,  -1.43
19310309,   0.42
19310310,   0.48
19310311,   0.10
19310312,   1.82
19310313,   0.03
19310314,  -1.45
19310316,  -1.39
19310317,   0.62
19310318,   0.01
19310319,  -1.17
19310320,  -0.56
19310321,  -0.06
19310323,   0.59
19310324,  -0.12
19310325,   0.74
19310326,   0.57
19310327,   1.38
19310328,   1.60
19310330,   0.72
19310331,   0.25
19310401,   0.90
19310402,   1.07
19310404,  -0.17
19310406,  -0.06
19310407,   0.75
19310408,  -0.04
19310409,   0.30
19310410,  -0.04
19310411,   0.15
19310413,  -1.33
19310414,   1.03
19310415,   0.62
19310416,   0.19
19310417,   0.26
19310418,   0.37
19310420,   1.34
19310421,   0.45
19310422,   0.15
19310423,   1.33
19310424,   1.83
19310425,   0.85
19310427,   1.66
19310428,   0.12
19310429,   0.34
19310430,  -2.74
19310501,   1.78
19310502,  -0.63
19310504,   0.00
19310505,   0.27
19310506,   1.01
19310507,   0.53
19310508,  -1.25
19310509,   0.73
19310511,   0.56
19310512,   0.84
19310513,   0.51
19310514,   1.17
19310515,   0.43
19310516,   0.09
19310518,   1.38
19310519,   0.10
19310520,  -0.83
19310521,  -0.34
19310522,  -0.33
19310523,   0.79
19310525,   1.15
19310526,   0.73
19310527,   1.96
19310528,   0.31
19310529,  -0.83
19310601,   2.18
19310602,   2.59
19310603,  -2.70
19310604,  -3.42
19310605,  -1.41
19310606,   1.08
19310608,  -2.40
19310609,  -0.46
19310610,   0.82
19310611,  -0.98
19310612,   0.55
19310613,   0.05
19310615,   0.83
19310616,   0.31
19310617,   0.56
19310618,   1.40
19310619,  -0.78
19310620,  -1.20
19310622,  -5.27
19310623,  -1.11
19310624,  -4.26
19310625,  -0.23
19310626,  -1.82
19310627,  -1.06
19310629,   0.90
19310630,   1.12
19310701,  -0.73
19310702,   0.72
19310703,  -2.08
