index,万 科Ａ(000002),美的集团(000333),苏宁易购(002024),中源协和(600645),广誉远(600771),cash
2016-10-14 00:00:00+00:00,125264507.72,2661814.17,1811782.62,1117751.4000000001,85575691.22000001,-164270572.87000006
2016-10-17 00:00:00+00:00,121344158.0,2651720.07,1798689.34,1133475.12,85959653.94,-164270572.87000006
2016-10-18 00:00:00+00:00,121344158.0,2659795.35,1831422.5399999998,1140653.3399999999,86103639.96000001,-164270572.87000006
2016-10-19 00:00:00+00:00,120550753.89000002,2638597.74,1837969.1800000002,1133475.12,86079642.28999999,-164270572.87000006
2016-10-20 00:00:00+00:00,121064133.02000001,2649701.25,1849425.8,1132449.6600000001,86079642.28999999,-164270572.87000006
2016-10-21 00:00:00+00:00,117843845.75,2662823.58,1829785.88,1138260.5999999999,86103639.96000001,-164270572.87000006
2016-10-24 00:00:00+00:00,117797174.92000002,2691087.06,1864155.74,1140995.1600000001,85767672.58,-164270572.87000006
2016-10-25 00:00:00+00:00,116723745.83000001,2705218.8000000003,1867429.06,1135867.86,79456285.37,-164270572.87000006
2016-10-26 00:00:00+00:00,117470479.11000001,2692096.47,1877249.02,1132791.48,79888243.42999999,-164270572.87000006
2016-10-27 00:00:00+00:00,115603645.91,2693105.88,1867429.06,1122878.7,79480283.03999999,-164270572.87000006
2016-10-28 00:00:00+00:00,115510304.25,2701181.16,1841242.5,1103736.78,79672264.4,-164270572.87000006
2016-10-31 00:00:00+00:00,116303708.36000001,2740548.1500000004,1833059.2000000002,1037081.88,81184117.61,-164270572.87000006
2016-11-01 00:00:00+00:00,120364070.57,2803131.57,1847789.1400000001,1042209.18,81232112.95,-164270572.87000006
2016-11-02 00:00:00+00:00,116210366.7,2773858.68,1821602.58,1028194.56,80536180.52000001,-164270572.87000006
2016-11-03 00:00:00+00:00,116070354.21000001,2765783.4000000004,1867429.06,1024776.36,80080224.78999999,-164270572.87000006
2016-11-04 00:00:00+00:00,114763570.97,2724397.5900000003,1852699.12,1029220.02,79720259.74,-164270572.87000006
2016-11-07 00:00:00+00:00,112756725.28,2720359.9499999997,1849425.8,1026143.64,79648266.72999999,-164270572.87000006
2016-11-08 00:00:00+00:00,113036750.25999999,2765783.4000000004,1860882.4200000002,1029903.6599999999,79888243.42999999,-164270572.87000006
2016-11-09 00:00:00+00:00,122744282.9,2743576.38,1821602.58,1023409.0800000001,79576273.72000001,-164270572.87000006
2016-11-10 00:00:00+00:00,123957724.48,2782943.37,1837969.1800000002,1035372.78,79744257.41000001,-164270572.87000006
2016-11-11 00:00:00+00:00,121297487.17000002,2768811.63,1821602.58,1040500.0800000001,80104222.46000001,-164270572.87000006
2016-11-14 00:00:00+00:00,119944033.1,2735501.1,1818329.26,1052463.78,79888243.42999999,-164270572.87000006
2016-11-15 00:00:00+00:00,125731216.02000001,2725407.0,1829785.88,1054856.52,79960236.44,-164270572.87000006
2016-11-16 00:00:00+00:00,124517774.44,2719350.54,1828149.22,1051096.5,79984234.11,-164270572.87000006
2016-11-17 00:00:00+00:00,126011241.0,2725407.0,1842879.16,1045285.56,80872147.9,-164270572.87000006
2016-11-18 00:00:00+00:00,129371540.75999999,2738529.33,1834695.86,1039474.62,83247917.22999999,-164270572.87000006
2016-11-21 00:00:00+00:00,127878074.2,2783952.7800000003,1837969.1800000002,1031270.9400000001,84375807.72000001,-164270572.87000006
2016-11-22 00:00:00+00:00,127411365.9,2769821.04,1839605.84,1037423.7000000001,83631879.95,-164270572.87000006
2016-11-23 00:00:00+00:00,127037999.25999999,2831395.0500000003,1859245.76,1032296.4,82815959.17,-164270572.87000006
2016-11-24 00:00:00+00:00,125684545.19,2925270.18,1836332.52,1024434.5399999999,83511891.60000001,-164270572.87000006
2016-11-25 00:00:00+00:00,126944657.6,2927289.0,1839605.84,1040841.9,83415900.92,-164270572.87000006
2016-11-28 00:00:00+00:00,123117649.53999999,3040342.92,1855972.44,1049729.22,83079933.53999999,-164270572.87000006
2016-11-29 00:00:00+00:00,122090891.28,3176613.27,1844515.8199999998,1030587.3,83127928.88,-164270572.87000006
2016-11-30 00:00:00+00:00,125917899.34,3056493.48,1909982.22,1025118.18,83103931.21000001,-164270572.87000006
2016-12-01 00:00:00+00:00,125871228.50999999,3114029.85,1914892.2000000002,1025801.8200000001,83151926.55,-164270572.87000006
2016-12-02 00:00:00+00:00,123444345.35,3015107.67,1932895.4600000002,1012129.02,81760061.69,-164270572.87000006
2016-12-05 00:00:00+00:00,119010616.5,2888931.42,1918165.52,1002899.88,83055935.87,-164270572.87000006
2016-12-06 00:00:00+00:00,118450566.53999999,2914166.67,1967265.3199999998,1015889.0399999999,84423803.06,-164270572.87000006
2016-12-07 00:00:00+00:00,117330466.62,2916185.49,2049098.3199999998,1020332.7000000001,84471798.4,-164270572.87000006
2016-12-08 00:00:00+00:00,115463633.42000002,2938392.51,2024548.4200000002,1013496.3,87015551.42,-164270572.87000006
2016-12-09 00:00:00+00:00,115790329.23,3046399.38,1981995.26,1017598.14,86775574.72000001,-164270572.87000006
2016-12-12 00:00:00+00:00,108556350.58000001,2956561.89,1895252.28,916077.6,82360003.44,-164270572.87000006
2016-12-13 00:00:00+00:00,107622933.97999999,2907100.8000000003,1901798.9200000002,916077.6,82527987.13,-164270572.87000006
2016-12-14 00:00:00+00:00,104029280.07,2866724.4000000004,1888705.6400000001,916077.6,81376098.97000001,-164270572.87000006
2016-12-15 00:00:00+00:00,104215963.39000002,2809188.0300000003,1931258.8,916077.6,81400096.64,-164270572.87000006
2016-12-16 00:00:00+00:00,104822684.18,2947477.1999999997,1954172.0399999998,916077.6,81064129.26,-164270572.87000006
2016-12-19 00:00:00+00:00,98475451.30000001,2912147.85,1896888.94,916077.6,79816250.42,-164270572.87000006
2016-12-20 00:00:00+00:00,94881797.39000002,2849564.43,1865792.4000000001,916077.6,79240306.34,-164270572.87000006
2016-12-21 00:00:00+00:00,95581859.84,2864705.58,1878885.6800000002,916077.6,78613967.153,-164270572.87000006
2016-12-22 00:00:00+00:00,96188580.63,2864705.58,1898525.5999999999,916077.6,78952334.3,-164270572.87000006
2016-12-23 00:00:00+00:00,94741784.9,2839470.33,1891978.9600000002,916077.6,78520376.24,-164270572.87000006
2016-12-26 00:00:00+00:00,96375263.95,2857639.7100000004,1900162.26,916077.6,79000329.64,-164270572.87000006
2016-12-27 00:00:00+00:00,99968917.86000001,2856630.3000000003,1913255.5399999998,916077.6,79024327.31,-164270572.87000006
2016-12-28 00:00:00+00:00,98942159.6,2833413.87,1890342.3,916077.6,79120317.99,-164270572.87000006
2016-12-29 00:00:00+00:00,97262009.72,2828366.82,1900162.26,916077.6,79432287.7,-164270572.87000006
2016-12-30 00:00:00+00:00,95908555.65,2843507.97,1873975.7000000002,916077.6,80248208.47999999,-164270572.87000006
2017-01-03 00:00:00+00:00,96748630.59,2939401.92,1929622.1400000001,916077.6,79936238.77000001,-164270572.87000006
2017-01-04 00:00:00+00:00,97308680.55000001,3011070.0300000003,1931258.8,916077.6,80992136.25,-164270572.87000006
2017-01-05 00:00:00+00:00,97682047.19,2996938.29,1924712.16,916077.6,81976040.72000001,-164270572.87000006
2017-01-06 00:00:00+00:00,96328593.12,2966655.99,1895252.28,916077.6,81712066.35,-164270572.87000006
2017-01-09 00:00:00+00:00,96421934.78,2952524.25,1891978.9600000002,916077.6,82384001.11,-164270572.87000006
2017-01-10 00:00:00+00:00,96048568.14000002,2945458.38,1924712.16,916077.6,82240015.09,-164270572.87000006
2017-01-11 00:00:00+00:00,95208493.2,2886912.6,1914892.2000000002,916077.6,82240015.09,-164270572.87000006
2017-01-12 00:00:00+00:00,95208493.2,2846536.1999999997,1873975.7000000002,916077.6,81112124.6,-164270572.87000006
2017-01-13 00:00:00+00:00,101789080.22999999,2848555.02,1813419.28,916077.6,79048324.97999999,-164270572.87000006
2017-01-16 00:00:00+00:00,98008743.0,2851583.25,1765956.1400000001,916077.6,75184700.11,-164270572.87000006
2017-01-17 00:00:00+00:00,97075326.4,2918204.31,1787232.72,916077.6,76000620.89,-164270572.87000006
2017-01-18 00:00:00+00:00,97635376.36000001,2941420.74,1782322.74,916077.6,76192602.25,-164270572.87000006
2017-01-19 00:00:00+00:00,96141909.80000001,2904072.57,1769229.4600000002,916077.6,76432578.95,-164270572.87000006
2017-01-20 00:00:00+00:00,96515276.44,2949496.02,1785596.06,916077.6,77488476.42999999,-164270572.87000006
2017-01-23 00:00:00+00:00,96795301.42000002,2923251.36,1795416.02,916077.6,78712357.6,-164270572.87000006
2017-01-24 00:00:00+00:00,96561947.27000001,2937383.1,1788869.38,916077.6,79384292.36,-164270572.87000006
2017-01-25 00:00:00+00:00,96188580.63,2967665.4000000004,1798689.34,916077.6,79648266.72999999,-164270572.87000006
2017-01-26 00:00:00+00:00,96515276.44,3018135.9000000004,1811782.62,916077.6,79336297.02000001,-164270572.87000006
2017-02-03 00:00:00+00:00,96515276.44,3018135.9000000004,1808509.3,916077.6,81064129.26,-164270572.87000006
2017-02-06 00:00:00+00:00,96655288.93,3027220.5900000003,1815055.94,916077.6,81928045.38,-164270572.87000006
2017-02-07 00:00:00+00:00,96328593.12,2992900.6500000004,1808509.3,916077.6,81688068.67999999,-164270572.87000006
2017-02-08 00:00:00+00:00,96561947.27000001,3016117.08,1795416.02,916077.6,81688068.67999999,-164270572.87000006
2017-02-09 00:00:00+00:00,97075326.4,3030248.82,1797052.6800000002,916077.6,81592078.0,-164270572.87000006
2017-02-10 00:00:00+00:00,96421934.78,3040342.92,1806872.6400000001,916077.6,81256110.62,-164270572.87000006
2017-02-13 00:00:00+00:00,96935313.91,3120086.31,1833059.2000000002,916077.6,81664071.01,-164270572.87000006
2017-02-14 00:00:00+00:00,97588705.53,3097879.29,1819965.9200000002,916077.6,81520084.99,-164270572.87000006
2017-02-15 00:00:00+00:00,96468605.61000001,3135227.4600000004,1811782.62,916077.6,82767963.83,-164270572.87000006
2017-02-16 00:00:00+00:00,96515276.44,3233140.23,1823239.24,916077.6,83823861.31,-164270572.87000006
2017-02-17 00:00:00+00:00,95861884.82,3255347.25,1836332.52,916077.6,82144024.41000001,-164270572.87000006
2017-02-20 00:00:00+00:00,96188580.63,3288657.78,1841242.5,916077.6,82192019.75,-164270572.87000006
2017-02-21 00:00:00+00:00,97915401.34,3275535.45,1890342.3,916077.6,81784059.36,-164270572.87000006
2017-02-22 00:00:00+00:00,97542034.7,3336100.05,1865792.4000000001,916077.6,81832054.7,-164270572.87000006
2017-02-23 00:00:00+00:00,97028655.57,3341147.1,1844515.8199999998,916077.6,81736064.02000001,-164270572.87000006
2017-02-24 00:00:00+00:00,96701959.75999999,3267359.229,1842879.16,916077.6,81496087.32000001,-164270572.87000006
2017-02-27 00:00:00+00:00,95768543.16,3190745.01,1833059.2000000002,916077.6,81736064.02000001,-164270572.87000006
2017-02-28 00:00:00+00:00,95815213.99000001,3215980.26,1854335.78,916077.6,81832054.7,-164270572.87000006
2017-03-01 00:00:00+00:00,95675201.5,3233140.23,1859245.76,916077.6,81928045.38,-164270572.87000006
